"gene","nes","pval"
"ZNF836",-0.300688299754981,0.763652191585438
"GTF2IRD2",-0.299968191396657,0.76420141856534
"ZNF624",0.299761855951675,0.76435881258609
"ZNF641",-0.299645357459074,0.764447682695136
"ZNF717",-0.299467155748057,0.76458362870048
"ZNF283",0.29805806643501,0.765658845850895
"HIVEP3",0.297948837099007,0.765742213079538
"HES4",0.297787607599444,0.765865273409243
"PURA",-0.297491619875123,0.766091204931788
"ZNF585B",0.294933187656333,0.768044918901221
"ZNF362",-0.292046633742012,0.770250968798973
"KMT2A",-0.29164053572578,0.770561479030264
"ZNF26",-0.291095358066081,0.77097839000886
"KCMF1",-0.290610729448873,0.771349053178533
"RBCK1",-0.289164616860871,0.772455407393379
"ZNF775",-0.288723862908894,0.772792700073612
"ZBTB21",0.287417416108287,0.773792727395587
"ZNF33B",-0.286745300727529,0.774307348443365
"ATF5",0.286544627514492,0.774461017876513
"ZNF438",-0.285545001886721,0.775226632260464
"ZMAT1",-0.28535518267226,0.775372039722531
"ZNF445",-0.285221445002386,0.775474491695189
"ZBTB45",-0.285211459542477,0.775482141380115
"ZNF263",-0.283769706564373,0.776586871247259
"IKZF2",-0.283750419425346,0.776601652907844
"ZNF541",-0.283153444452255,0.777059214418973
"ZNF669",-0.281627651700855,0.778229035083925
"MAFF",0.281195654394502,0.778560337543698
"ZNF354A",-0.280011512179778,0.779468672613442
"ZNF814",-0.278720429676948,0.780459382957825
"E2F3",-0.277159892974876,0.781657334426959
"TFAP2A",-0.276922143699622,0.781839889050503
"MXI1",0.276897228266498,0.781859020940495
"ZNF350",-0.274997555021099,0.783318116730928
"ZNF85",-0.274041128513202,0.78405301503596
"ZNF28",-0.273324389138001,0.784603869025564
"ZBTB4",-0.273229551236596,0.784676765307028
"ZNF337",-0.272730182227124,0.785060631852487
"ZNF426",-0.272407887140028,0.785308408877602
"ZBTB33",-0.271472337254616,0.786027772792805
"PBX1",-0.270469589504547,0.786799009421532
"ZNF714",-0.270078617233926,0.787099772017044
"ZNF492",-0.269447670879447,0.787585206046714
"ZNF682",0.269223740481739,0.7877575122358
"ZNF880",-0.268825741466604,0.788063783445723
"TFAP4",-0.267715449808929,0.788918356555892
"ZFY",0.266824608138306,0.789604206384908
"ZNF280B",-0.26547520798186,0.790643406040781
"ZNF217",-0.265296309191445,0.790781207517504
"ETV6",-0.264932425956981,0.791061518281747
"ATF1",-0.264787122061362,0.791173458020279
"IRF1",0.264219717234552,0.791610618620849
"ZNF780B",-0.261977448172036,0.79333882889213
"ZNF609",-0.260328131910358,0.794610674356214
"ZNF831",-0.260267909835895,0.794657124059987
"PKNOX1",-0.259906091592347,0.794936212302826
"ZNF555",-0.259852544516522,0.794977518031792
"CENPBD1",-0.259761449280209,0.795047789391962
"HIVEP1",-0.259025678659748,0.795615427753759
"JAZF1",-0.258908473847173,0.795705859882688
"ZNF570",-0.257857609509479,0.796516801440458
"ZNF397",0.257844990903504,0.796526540430205
"SREBF2",-0.257396863824591,0.79687242365549
"ZNF667",-0.25644890884753,0.797604226351163
"NRF1",-0.256289794436624,0.797727077018741
"ZNF606",-0.255882565056442,0.798041517619511
"IRF4",0.254985038715454,0.79873465475868
"ZBTB6",-0.254955196702401,0.798757703726801
"ELK3",-0.254873046632107,0.798821154586452
"ZNF319",-0.254498808900362,0.799110224167166
"ZNF430",-0.254385588560345,0.799197683512651
"ZNF675",-0.253757577077217,0.799682849414892
"ZNF136",-0.253520853279652,0.799865748813963
"HOXA4",0.252913101462913,0.800335365038032
"HES6",-0.251927753130295,0.801096907391492
"ZNF525",-0.251072031111949,0.801758419375221
"ZNF169",-0.250962020342615,0.801843473017011
"ZNF451",-0.250179103287144,0.802448844674224
"ZNF799",-0.248936964903351,0.80340954128476
"ZNF765",-0.248771159432655,0.803537801317895
"ZNF493",-0.248274421861241,0.803922087949376
"ZNF526",-0.248108826767191,0.804050206334634
"ZBTB5",-0.247569774912765,0.804467298929683
"ZNF446",0.246980252646807,0.804923506843851
"ANKZF1",-0.246336067374553,0.805422092240392
"ZNF266",-0.246326928911241,0.805429165781988
"ZNF281",-0.246074526052879,0.805624542132492
"STAT5B",-0.245909832580441,0.805752032214514
"GTF2IRD1",0.245126695852161,0.806358333065169
"ZNF562",-0.244860932720834,0.806564112129171
"ZBTB7B",-0.243772051751939,0.807407366907547
"ZNF181",-0.243686830366034,0.807473373791405
"ZNF175",-0.241987964079855,0.808789489392147
"MBNL2",-0.241932622366237,0.808832371865446
"NPAS2",-0.241739408320888,0.808982091573691
"ZNF320",0.241730730887612,0.808988815797531
"GATAD2A",-0.240802551856616,0.809708151717441
"ZNF19",-0.240334228423492,0.810071162020599
"KIN",-0.239872075274992,0.810429429624328
"ZNF14",-0.239830829508803,0.810461405852508
"KMT2B",-0.239823908916069,0.810466771148176
"PREB",-0.239286114842164,0.81088373146708
"FOXP1",-0.239015845210977,0.811093296087729
"ZNF462",-0.238887324111311,0.811192954933129
"ZNF358",0.238312883491716,0.811638429591363
"ZNF84",0.238024800550984,0.811861858855581
"MLXIP",0.237845914891209,0.812000605401551
"ZIK1",-0.237711347382613,0.812104981979768
"SMAD3",-0.23748942284558,0.812277123869102
"ZNF777",-0.23683103511735,0.812787873828201
"HMGA1",0.236769465096511,0.812835641378521
"ZNF83",-0.236502746939295,0.813042575984693
"E2F5",-0.235797920638191,0.813589481759126
"ZNF654",0.235203169833393,0.8140510458329
"ZNF384",-0.234848227680773,0.814326534069327
"ZNF584",0.234190243027106,0.814837289365369
"NFIA",-0.233408865912259,0.815443929285231
"ZNF721",-0.233047020415423,0.815724893783833
"ZNF213",0.232888603610813,0.815847908157682
"STAT3",0.232567463126329,0.816097295217911
"TIGD5",-0.232347686068973,0.816267977536107
"ZNF618",-0.229696679417902,0.818327475367451
"FOXN2",-0.229497039561695,0.818482621321236
"SNAPC4",0.227761828062302,0.819831403542585
"ZNF79",-0.227757145564133,0.81983504397773
"ZNF473",-0.227558050291293,0.819989835334222
"ZNF250",-0.227519284758508,0.820019975335821
"ZHX1",-0.22714016859231,0.820314750203506
"ZNF24",-0.225128239246004,0.821879513060917
"KLF11",0.224793485638831,0.822139934101568
"ZNF737",-0.224389486062621,0.822454251029691
"ZNF594",-0.22363312751509,0.823042784397528
"SGSM2",-0.222935092546671,0.823586023701889
"SOX13",-0.22246303497689,0.823953446105622
"UBP1",-0.221620953140959,0.824608969831438
"ZNF793",0.220820391636257,0.825232285256771
"ZNF41",-0.220564137862244,0.825431827181864
"ZNF771",-0.220538455052653,0.825451826718212
"ZNF143",0.220361074863198,0.825589958060564
"MBD2",-0.220066553171824,0.825819322972521
"ETV7",-0.218269410250279,0.827219206943335
"FOXO3",-0.217648206383497,0.827703221473337
"ZNF664",0.217254721397511,0.828009841408281
"SMAD5",-0.21692118690817,0.8282697659408
"ZNF20",0.216886003548827,0.828297185546319
"ZBTB17",0.216605895463759,0.828515490900007
"ZNF706",0.216313296580071,0.82874354524118
"IKZF4",0.215450593282284,0.829416028313189
"ZNF569",-0.21538096160556,0.829470312135871
"SNAPC5",-0.215180883851302,0.82962629431591
"REST",-0.215035500983816,0.829739640148138
"NR5A2",-0.214985133848882,0.829778909046163
"BAZ2A",-0.214471694091888,0.830179238240733
"TSC22D1",0.214329653190032,0.830289995381078
"ZNF248",-0.213709480366784,0.830773617874907
"ZNF34",-0.213128026718861,0.831227104650917
"TCF7",0.213034602431979,0.831299973276187
"ZNF182",0.212761615533197,0.831512904590611
"ZNF75A",0.211789665717617,0.832271131208409
"HMBOX1",-0.211547176351084,0.832460323657253
"ZNF764",-0.21072223404573,0.833104023889192
