"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.22251831212644e-80,2.549640590433,0.254,0.015,3.13130604995495e-76,"5","FANCG"
7.93273250088524e-79,2.3510905382143,0.254,0.015,1.11764268204972e-74,"5","SLC43A3"
1.20422140609582e-78,2.04488770577567,0.477,0.055,1.6966275390484e-74,"5","ITGB3BP"
6.25161423491812e-78,2.07724607306862,0.838,0.172,8.80789929557613e-74,"5","CARHSP1"
1.29509474896316e-77,2.62449321407246,0.292,0.021,1.82465899181419e-73,"5","AURKA"
1.14851027686909e-76,2.03641762222959,0.492,0.06,1.61813612908086e-72,"5","RFC2"
1.28597804235232e-76,2.73632068085326,0.238,0.014,1.81181446387018e-72,"5","GPSM2"
1.56975984929131e-76,2.31246674310082,0.331,0.028,2.21163465166653e-72,"5","NUDT8"
3.12832018495651e-76,3.08583133969228,0.208,0.01,4.40749030858523e-72,"5","KNTC1"
4.96662668717658e-76,1.97792756414435,0.562,0.077,6.99748033956308e-72,"5","SAE1"
1.31629246546086e-75,3.30105013178258,0.169,0.007,1.85452445458781e-71,"5","CHAF1B"
3.35352995515843e-75,1.96710101327153,0.531,0.07,4.72478835382271e-71,"5","CDK4"
7.54999410074186e-73,3.5657985402191,0.131,0.004,1.06371866885352e-68,"5","STIL"
2.79949313929432e-72,2.26138474888761,0.369,0.036,3.94420588395177e-68,"5","CDCA4"
4.10389562328253e-72,2.19750812906169,0.277,0.02,5.78197854364275e-68,"5","SHMT1"
4.22470469482412e-72,3.87709223000146,0.123,0.003,5.95218644453771e-68,"5","SPAG5"
1.47368697489418e-71,2.73580274711958,0.585,0.093,2.07627757892842e-67,"5","PTTG1"
2.68862147083006e-71,2.1393632287737,0.369,0.037,3.78799879025247e-67,"5","MSH2"
1.18372190724241e-70,2.55216390820163,0.262,0.019,1.66774579511383e-66,"5","ZWILCH"
2.78003675987959e-70,1.91478998263104,0.385,0.04,3.91679379099435e-66,"5","NCAPH2"
6.9386980819888e-70,2.08187598500191,0.377,0.039,9.77593172771401e-66,"5","CAMK1"
7.40749568550066e-70,1.76980857996861,0.592,0.09,1.04364206713019e-65,"5","IMPDH2"
1.57377705906084e-69,3.16406508711734,0.177,0.008,2.21729449851082e-65,"5","KIF18A"
