"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"DDIT3",3.09770310552143e-15,1.1315689056698,0.261,0.15,4.36435390536914e-11,"Upregulated in Activated Stressed NK"
"PRKCB",3.19680016810787e-15,-1.08367119543606,0.097,0.213,4.50397175684718e-11,"Upregulated in Mature Cytotoxic NK"
"TMEM71",4.54497955336347e-15,-1.78599880868061,0.041,0.129,6.40342169273379e-11,"Upregulated in Mature Cytotoxic NK"
"SH2D2A",5.70704717440001e-15,-1.00669836686614,0.203,0.327,8.04065876401218e-11,"Upregulated in Mature Cytotoxic NK"
"LPCAT1",6.52800201797658e-15,-1.11336384501931,0.088,0.198,9.19730204312721e-11,"Upregulated in Mature Cytotoxic NK"
"SCGB1A1",6.99288961158733e-15,-3.32164185328489,0.026,0.102,9.85228217376538e-11,"Upregulated in Mature Cytotoxic NK"
"GLUL",9.16636673837261e-15,1.11707751875158,0.274,0.165,1.29144940976932e-10,"Upregulated in Activated Stressed NK"
"HLA-DMA",9.48656608062728e-15,1.38819987330353,0.162,0.074,1.33656229509958e-10,"Upregulated in Activated Stressed NK"
"LYN",1.59670561265092e-14,-1.64267310864075,0.058,0.151,2.24959853766388e-10,"Upregulated in Mature Cytotoxic NK"
"MT2A",1.83180221875026e-14,-1.22990705486242,0.384,0.501,2.58082614599725e-10,"Upregulated in Mature Cytotoxic NK"
"KLF13",2.03351651401318e-14,-1.06278327690415,0.114,0.226,2.86502141659317e-10,"Upregulated in Mature Cytotoxic NK"
"F2R",2.74037083747112e-14,-1.29737546529399,0.079,0.182,3.86090847291306e-10,"Upregulated in Mature Cytotoxic NK"
"S1PR4",4.38344996226029e-14,-1.04409236770609,0.105,0.214,6.17584265182852e-10,"Upregulated in Mature Cytotoxic NK"
"DTHD1",6.47884280017736e-14,-1.63890318325961,0.036,0.118,9.12804162116988e-10,"Upregulated in Mature Cytotoxic NK"
"TAF10",6.78685583713266e-14,-1.13632122566835,0.083,0.185,9.5620011889362e-10,"Upregulated in Mature Cytotoxic NK"
"GRAMD1A",7.42733752736436e-14,1.44965960943106,0.11,0.04,1.04643758423036e-09,"Upregulated in Activated Stressed NK"
"PHYH",7.98394728906689e-14,1.69860857423238,0.11,0.041,1.12485833355663e-09,"Upregulated in Activated Stressed NK"
"TGFBR3",8.4350412015774e-14,-1.37343612502638,0.058,0.15,1.18841295489024e-09,"Upregulated in Mature Cytotoxic NK"
"FGR",8.90838133230604e-14,-1.14579995343025,0.103,0.209,1.2551018459086e-09,"Upregulated in Mature Cytotoxic NK"
"KPNA2",9.6067043626623e-14,1.20038961212218,0.211,0.116,1.35348857765549e-09,"Upregulated in Activated Stressed NK"
"PTGER2",1.32568260295023e-13,-1.26310079397297,0.109,0.212,1.86775421929658e-09,"Upregulated in Mature Cytotoxic NK"
"ZNF90",1.35955889977294e-13,-1.69703551879225,0.031,0.109,1.91548253389009e-09,"Upregulated in Mature Cytotoxic NK"
"NUDT4",1.37418101050423e-13,1.27810560261112,0.167,0.081,1.93608362569941e-09,"Upregulated in Activated Stressed NK"
"PLK3",1.80744048468293e-13,1.26250963373208,0.154,0.071,2.54650289886977e-09,"Upregulated in Activated Stressed NK"
"TNFSF14",1.91584979371901e-13,1.39481222240569,0.175,0.087,2.69924077437072e-09,"Upregulated in Activated Stressed NK"
"PTGDR",2.31739902712135e-13,-1.03672347402298,0.095,0.197,3.26498348931127e-09,"Upregulated in Mature Cytotoxic NK"
"EGR2",2.35324930714602e-13,1.71273636896774,0.114,0.045,3.31549294883803e-09,"Upregulated in Activated Stressed NK"
"ITGAM",2.71147739881372e-13,-1.41303319323528,0.034,0.112,3.82020050718866e-09,"Upregulated in Mature Cytotoxic NK"
"SYNGR1",3.33974813304402e-13,-1.19183549073674,0.105,0.207,4.70537114464572e-09,"Upregulated in Mature Cytotoxic NK"
"HSH2D",3.52423172314751e-13,-1.01933991909012,0.111,0.217,4.96529007474253e-09,"Upregulated in Mature Cytotoxic NK"
"IFITM3",3.67948610715497e-13,-1.02382513919449,0.123,0.232,5.18402797637063e-09,"Upregulated in Mature Cytotoxic NK"
"RASGRP2",4.09899180907191e-13,-1.22696542186806,0.082,0.179,5.77506955980141e-09,"Upregulated in Mature Cytotoxic NK"
"ITGAE",4.66218770081943e-13,1.04316608308401,0.197,0.105,6.5685562516845e-09,"Upregulated in Activated Stressed NK"
