"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.50727044816493e-09,-0.0564522143582353,0.508,0.216,0.000105769933344196,"5","YY1"
7.57647750134321e-09,0.399613104024275,0.977,0.766,0.000106744991516424,"5","ARHGDIB"
7.61180667018117e-09,0.314107885899691,0.154,0.042,0.000107242744176183,"5","ZNF626"
7.63421258414994e-09,-0.0913716615310545,0.215,0.07,0.000107558421098089,"5","CAMK2G"
7.64032002666028e-09,-0.0615458965264426,0.223,0.073,0.000107644468855617,"5","PHKB"
7.74482396869725e-09,0.23405040691811,0.185,0.056,0.000109116824894976,"5","IQCB1"
7.84643740890053e-09,0.0610965999274309,0.262,0.092,0.000110548456654,"5","ADA"
8.00203870037843e-09,0.302823900284295,0.254,0.09,0.000112740723249632,"5","AGO3"
8.04072438213212e-09,-0.00419728168472289,0.185,0.056,0.000113285765819859,"5","MKNK1"
8.08461305880279e-09,0.0857809214924217,0.885,0.535,0.000113904113385472,"5","XCL2"
8.18464293888795e-09,0.665224436755628,0.108,0.024,0.000115313434365992,"5","MMS19"
8.19374907102717e-09,0.505643304121892,0.162,0.046,0.000115441730661702,"5","CCNJL"
8.22105804138901e-09,0.0969677541920269,0.254,0.089,0.00011582648674513,"5","ZSWIM7"
8.22902244567979e-09,0.248101236840629,0.177,0.053,0.000115938697237183,"5","RRP8"
8.26198925073465e-09,-0.0491431714459864,0.331,0.126,0.000116403166553601,"5","TSNAX"
8.28958419537147e-09,0.112070923205192,0.277,0.1,0.000116791951728589,"5","PNP"
8.40971423900596e-09,0.193589902866258,0.169,0.049,0.000118484463913355,"5","RRAGC"
8.42311516889756e-09,0.0551895749709266,0.315,0.119,0.000118673269614598,"5","RABGGTB"
8.42748957661209e-09,0.483220085648732,0.162,0.046,0.000118734900644888,"5","AGL"
8.48183329009089e-09,0.383910630133731,0.154,0.043,0.00011950054922409,"5","KIAA0232"
8.51626728472076e-09,-0.00774381434572269,0.431,0.177,0.000119985689774431,"5","PLEKHA2"
8.57331452630984e-09,-0.293147743485158,0.346,0.132,0.000120789428361179,"5","CYTH4"
8.57932883916805e-09,-0.140112475091392,0.4,0.16,0.000120874164015039,"5","ITPA"
8.64083913395021e-09,-1.24233084218411,0.831,0.78,0.000121740782558224,"5","CXCR4"
8.6979558730539e-09,0.569797572055637,0.108,0.024,0.000122545500295456,"5","EDC3"
8.72755528518343e-09,-0.0514152330079813,0.315,0.119,0.000122962526412949,"5","IST1"
8.86966271380804e-09,0.658743618973987,0.154,0.043,0.000124964677974842,"5","CDK19"
8.90944423144147e-09,-0.228686513180279,0.146,0.039,0.000125525159776779,"5","BCO2"
9.11662113550567e-09,0.910234053746404,0.115,0.027,0.000128444075178139,"5","ASPH"
9.14681113547824e-09,0.613323291238432,0.238,0.083,0.000128869422087753,"5","MLLT3"
9.15461219616376e-09,0.0260410131057642,0.185,0.056,0.000128979331231751,"5","SDHAF1"
9.20157401820003e-09,0.408263402973804,0.2,0.064,0.00012964097634242,"5","SLC4A1AP"
9.24272504389872e-09,0.742702181800768,0.115,0.027,0.000130220753143489,"5","ALDH18A1"
9.24596556117502e-09,0.267192418727092,0.192,0.06,0.000130266408791395,"5","PRAF2"
9.26281942361831e-09,-0.114070758702931,0.192,0.059,0.000130503862859358,"5","AP5M1"
9.28738951317738e-09,-0.0463376979713331,0.269,0.096,0.000130850030851156,"5","ADIPOR1"
9.29168080533989e-09,-0.198066123172793,0.369,0.144,0.000130910490866434,"5","SHKBP1"
9.30608761045193e-09,0.32073672868258,0.162,0.046,0.000131113468343657,"5","YARS2"
9.35281776870572e-09,-0.0317904946801466,0.2,0.063,0.000131771849543295,"5","UTP6"
9.41625887659478e-09,0.0988682444093141,0.192,0.06,0.000132665671312344,"5","TAF1"
9.52515356251869e-09,-0.409020575952095,0.277,0.098,0.000134199888542326,"5","GOSR1"
9.5675829681767e-09,0.2896387552833,0.177,0.053,0.000134797676438641,"5","NELFB"
9.63666224315957e-09,0.776900872383055,0.108,0.024,0.000135770934343875,"5","GCFC2"
9.6483967485059e-09,0.424393738470934,0.1,0.022,0.0001359362617897,"5","SMG9"
9.74046934658166e-09,0.117653000768531,0.169,0.049,0.000137233472623989,"5","RIOK2"
9.74046947819446e-09,-0.114771351172849,0.169,0.049,0.000137233474478282,"5","FAF2"
9.7979542267801e-09,0.404245264061247,0.154,0.043,0.000138043377101105,"5","ZNF827"
9.91090803262984e-09,0.0111316139604969,0.546,0.235,0.000139634783271722,"5","STRAP"
