"NK_cluster","regulon","mean_in","mean_out","log2FC","avg_log2FC","statistic","pval","padj"
5,"TGIF1(+)",0.0110030155593828,0.0241376969983967,-1.13338898983752,-1.13338898983752,-12.5661297830241,3.24210398691833e-36,2.85219185970372e-35
5,"ZNF354C(+)",0.00330115001155072,0.0106770896810085,-1.69347755016592,-1.69347755016592,-12.5581435898328,3.58649022239351e-36,3.1491960459391e-35
5,"ZBTB14(+)",0.00605410668009649,0.0190119183513862,-1.6509179461553,-1.6509179461553,-12.4549280929814,1.31469927591761e-35,1.1205097498417e-34
5,"ESR1(+)",0.0122794159633222,0.0313298890732117,-1.35129764574854,-1.35129764574854,-12.4535244590266,1.33803272797936e-35,1.13830806253921e-34
5,"ZNF831(+)",0.00598203972092996,0.0168817702645122,-1.49675664572197,-1.49675664572197,-12.4278718384726,1.84480411261136e-35,1.5637071355985e-34
5,"ZNF701(+)",0.00906362541605049,0.0200893899468208,-1.14827352373652,-1.14827352373652,-12.2760857666668,1.21747476250727e-34,9.97384527662485e-34
5,"ZBTB24(+)",0.00801167435063097,0.0205348555085544,-1.35789899971768,-1.35789899971768,-12.2470934653237,1.74125231259455e-34,1.41648283572709e-33
5,"ZNF350(+)",0.00881550895087678,0.0211749586918493,-1.26424329061611,-1.26424329061611,-12.2347995679262,2.02604347036375e-34,1.64527481116077e-33
5,"NFIA(+)",0.00866679149218033,0.0210588267010062,-1.2808550590125,-1.2808550590125,-12.2290640291797,2.17429486360691e-34,1.7625828344597e-33
5,"ZFP64(+)",0.00756236971668652,0.0174583568430237,-1.20700738463228,-1.20700738463228,-12.209921366106,2.75154974794266e-34,2.2112367784072e-33
5,"CIC(+)",0.00500650477146397,0.013289063384228,-1.40836358667187,-1.40836358667187,-12.2084451303949,2.80192665457927e-34,2.24783235069442e-33
5,"FOXJ2(+)",0.00540792848894741,0.0200582672694246,-1.89104880991224,-1.89104880991224,-12.1694821878554,4.51940383166436e-34,3.58848389710785e-33
5,"TRERF1(+)",0.00527891286301005,0.0116018197459044,-1.13603820363055,-1.13603820363055,-12.1654406900889,4.74875591535238e-34,3.75135565081834e-33
5,"NFATC1(+)",0.00654314251548726,0.0160087833024099,-1.29080793477697,-1.29080793477697,-12.1115701869256,9.17213208733617e-34,7.10075892427942e-33
5,"E2F6(+)",0.0118041362290226,0.025532383617086,-1.11303568763806,-1.11303568763806,-12.0505363104756,1.92692073941575e-33,1.46971212390578e-32
5,"ZNF618(+)",0.0058477801631961,0.0121810791370125,-1.05868083889992,-1.05868083889992,-12.0501249005234,1.93656264507388e-33,1.47464483383085e-32
5,"ZNF592(+)",0.00323426936988384,0.0105901676043042,-1.71121336689297,-1.71121336689297,-12.016534487949,2.90918577469017e-33,2.19726307698144e-32
5,"SETBP1(+)",0.00679052705229861,0.0144292439926531,-1.08740014073735,-1.08740014073735,-11.9959155891641,3.73266586967893e-33,2.81008638000951e-32
5,"ZNF837(+)",0.00692108996775054,0.0186957438920595,-1.43363858132332,-1.43363858132332,-11.9586950887755,5.84735654742486e-33,4.35970644667552e-32
5,"ZNF740(+)",0.00554360475222865,0.0156690547667074,-1.4990216788842,-1.4990216788842,-11.8687173121533,1.72085803916418e-32,1.26477620125279e-31
5,"HMBOX1(+)",0.00553658728288849,0.0127702360780894,-1.20571616087757,-1.20571616087757,-11.8578028481252,1.9605235235785e-32,1.43864640869228e-31
5,"ZNF605(+)",0.00489799059215374,0.0127584100949498,-1.38118646765538,-1.38118646765538,-11.8552375860698,2.02150039916644e-32,1.47639455253587e-31
5,"ZNF703(+)",0.0120401431969654,0.0252826654964683,-1.0702959583783,-1.0702959583783,-11.7822970215891,4.8162413116518e-32,3.45771883966346e-31
5,"ATF6B(+)",0.0196107006660001,0.0464607262507073,-1.24437058113701,-1.24437058113701,-11.7591128607489,6.33969031964293e-32,4.49585672286128e-31
5,"ZNF665(+)",0.0114015664050224,0.0237211327664971,-1.05694079674461,-1.05694079674461,-11.7430436720245,7.66763755479427e-32,5.42929518933223e-31
5,"ZNF782(+)",0.00728265683802024,0.014815457018,-1.02456625818204,-1.02456625818204,-11.6959009316103,1.33760079454851e-31,9.3996303943689e-31
5,"ZNF169(+)",0.00497914178336161,0.0163178023795109,-1.71247756978443,-1.71247756978443,-11.6523640784249,2.23180142988559e-31,1.56596943229887e-30
5,"ZNF155(+)",0.00539269631645899,0.0130242588731262,-1.272122426055,-1.272122426055,-11.6228393642025,3.15474225804709e-31,2.19696818420221e-30
5,"MXI1(+)",0.00439138630675041,0.0139178637800739,-1.66418920957402,-1.66418920957402,-11.6088756264104,3.71467994641068e-31,2.57532661956382e-30
5,"ZNF563(+)",0.00627299604487561,0.0144541581574261,-1.20425789715294,-1.20425789715294,-11.5977433571134,4.23087718465195e-31,2.92012251451832e-30
5,"GTF2IRD2(+)",0.00544194914850548,0.013041077752419,-1.26086756780008,-1.26086756780008,-11.5127024999186,1.13853635624703e-30,7.64234302712059e-30
5,"TSHZ3(+)",0.0105546864976588,0.0226872080851468,-1.1039952796355,-1.1039952796355,-11.4827421751585,1.61088994746469e-30,1.0750838801686e-29
5,"ZNF786(+)",0.00424141249313456,0.0123840614836208,-1.54586761324004,-1.54586761324004,-11.4435130261793,2.53412275999943e-30,1.67439547940219e-29
5,"ZNF84(+)",0.00632739422308771,0.0138574043885241,-1.13097353995375,-1.13097353995375,-11.4327921668346,2.86737744841027e-30,1.88653941187899e-29
5,"ZNF606(+)",0.00571858761194495,0.0135590558190939,-1.24552579799902,-1.24552579799902,-11.400097175921,4.17652636860717e-30,2.72854641099582e-29
5,"ZNF260(+)",0.00667747564687262,0.0182905932607457,-1.45372701851076,-1.45372701851076,-11.3883356914029,4.78033056614787e-30,3.11425462549185e-29
5,"ZNF213(+)",0.00459516973822553,0.0120579461801514,-1.3917939423561,-1.3917939423561,-11.3723633050203,5.74117368424112e-30,3.72975549137063e-29
5,"ZNF398(+)",0.00675441399303782,0.0151560024604315,-1.16598664761185,-1.16598664761185,-11.3596095964996,6.6440884294064e-30,4.29232138450525e-29
5,"ZNF551(+)",0.0100391695797453,0.0201658277235742,-1.0062726140975,-1.0062726140975,-11.3452828499261,7.82727362029069e-30,5.00794572537882e-29
5,"AHCTF1(+)",0.0075999237049988,0.0165385608722774,-1.12177675845009,-1.12177675845009,-11.323405520699,1.00490758034277e-29,6.41180729490682e-29
5,"ZNF3(+)",0.0131809574363177,0.0273299897263253,-1.05202969246152,-1.05202969246152,-11.3037546453312,1.25725166587646e-29,8.01088338545429e-29
5,"ZNF586(+)",0.00548111172209075,0.0179745243073797,-1.71341296084348,-1.71341296084348,-11.2958652544816,1.37542722966549e-29,8.73988985197836e-29
5,"HOXB3(+)",0.00497450399611655,0.0110191578029737,-1.14738921553145,-1.14738921553145,-11.2736007158877,1.7717307828897e-29,1.12121110170608e-28
